epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7738,0.41398,10.8227,0.32544,0,0,0,0,0.40498,0.61474,0.49372,0.0671976,0.000331337,0.000331337
2,123.641,0.23007,0.44016,0.15787,0,0,0,0,0.71472,1.17471,0.55327,0.0341974,0.000664508,0.000664508
3,174.559,0.33406,0.65263,0.20141,0,0,0,0,0.79108,1.6425,0.51665,0.00119663,0.000997029,0.000997029
4,225.021,0.25864,0.44967,0.13978,0,0,0,0,0.83569,1.62568,0.60585,0.000997803,0.000997803,0.000997803
5,279.084,0.32074,0.67239,0.1923,0,0,0,0,0.93073,1.73723,0.60169,0.000996097,0.000996097,0.000996097
6,341.837,0.36125,0.67777,0.2395,0,0,0,0,0.87925,1.65148,0.54214,0.000993906,0.000993906,0.000993906
7,401.989,0.20074,0.37725,0.11774,0,0,0,0,0.83118,1.70228,0.50744,0.000991232,0.000991232,0.000991232
8,464.996,0.18418,0.3456,0.0918,0,0,0,0,0.85326,1.68603,0.52075,0.000988079,0.000988079,0.000988079
9,527.286,0.25154,0.53045,0.14191,0,0,0,0,0.8175,1.67232,0.50808,0.000984449,0.000984449,0.000984449
10,589.007,0.17126,0.31466,0.08919,0,0,0,0,0.82362,1.65836,0.51323,0.000980345,0.000980345,0.000980345
11,651.71,0.27962,0.5457,0.13781,0,0,0,0,0.86309,1.61128,0.52934,0.000975773,0.000975773,0.000975773
12,711.759,0.26547,0.55312,0.14103,0,0,0,0,0.96848,1.65815,0.59036,0.000970736,0.000970736,0.000970736
13,773.961,0.3847,0.74332,0.18777,0,0,0,0,0.94251,1.6696,0.60846,0.000965239,0.000965239,0.000965239
14,840.025,0.28156,0.49869,0.156,0,0,0,0,0.89194,1.5356,0.6483,0.000959289,0.000959289,0.000959289
15,904.763,0.2588,0.50774,0.17948,0,0,0,0,0.88386,1.65748,0.55881,0.000952889,0.000952889,0.000952889
16,968.531,0.35479,0.68658,0.19134,0,0,0,0,0.90417,1.65648,0.54,0.000946048,0.000946048,0.000946048
17,1030.18,0.21346,0.39064,0.10364,0,0,0,0,0.84891,1.63238,0.53885,0.000938772,0.000938772,0.000938772
18,1096.69,0.24253,0.45482,0.14127,0,0,0,0,0.85624,1.67868,0.51225,0.000931067,0.000931067,0.000931067
19,1165.82,0.19688,0.43204,0.10278,0,0,0,0,0.89729,1.67643,0.53911,0.000922942,0.000922942,0.000922942
20,1227,0.2175,0.48277,0.1187,0,0,0,0,0.95251,1.66343,0.56482,0.000914405,0.000914405,0.000914405
21,1286.27,0.32436,0.59545,0.17266,0,0,0,0,0.7936,1.61924,0.5126,0.000905463,0.000905463,0.000905463
22,1347.23,0.27803,0.52296,0.14251,0,0,0,0,0.78736,1.60804,0.52053,0.000896127,0.000896127,0.000896127
23,1409.11,0.21762,0.37528,0.09929,0,0,0,0,0.91144,1.65026,0.56348,0.000886404,0.000886404,0.000886404
24,1473.6,0.21338,0.43747,0.102,0,0,0,0,1.03009,1.65895,0.59077,0.000876305,0.000876305,0.000876305
25,1539.27,0.26793,0.49006,0.17404,0,0,0,0,0.96329,1.63871,0.56352,0.000865839,0.000865839,0.000865839
26,1604.39,0.44322,0.78225,0.27632,0,0,0,0,0.80929,1.57693,0.51182,0.000855018,0.000855018,0.000855018
27,1668.4,0.31742,0.58685,0.1643,0,0,0,0,0.89047,1.60964,0.52903,0.000843851,0.000843851,0.000843851
28,1733.63,0.26787,0.52434,0.14537,0,0,0,0,0.85867,1.6387,0.51868,0.000832349,0.000832349,0.000832349
29,1795.48,0.24891,0.50415,0.14022,0,0,0,0,0.78637,1.71313,0.49876,0.000820525,0.000820525,0.000820525
30,1859.28,0.281,0.53859,0.14972,0,0,0,0,0.83759,1.694,0.51789,0.000808389,0.000808389,0.000808389
